# B[mT] M[uA/um^3]
0.000000000000000000e+00 0.000000000000000000e+00
2.222222222222222099e-01 -2.934829747051228566e+01
4.444444444444444198e-01 -3.234342309537426985e+01
6.666666666666666297e-01 -1.648433989385971188e+01
8.888888888888888395e-01 -1.341950306460030262e+01
1.111111111111111160e+00 -6.110005300625170221e+00
1.333333333333333259e+00 -3.969435931254132743e+00
1.555555555555555358e+00 -2.495929623284529164e+00
1.777777777777777679e+00 -1.607295650006397958e+00
2.000000000000000000e+00 -9.537475880955675889e-01
