# B[mT] M[uA/um^3]
0.000000000000000000e+00 0.000000000000000000e+00
4.081632653061224164e-02 -1.356332628882225499e+01
8.163265306122448328e-02 -2.599117218983143118e+01
1.224489795918367319e-01 -3.612089860533978936e+01
1.632653061224489666e-01 -4.264551263576453266e+01
2.040816326530612013e-01 -3.826371392142746686e+01
2.448979591836734637e-01 -3.440042085310730613e+01
2.857142857142856984e-01 -3.123904537678521010e+01
3.265306122448979331e-01 -2.129571380111323009e+01
3.673469387755101678e-01 -2.714254140532981197e+01
4.081632653061224025e-01 -3.036964028048928910e+01
4.489795918367346372e-01 -2.791045615384244272e+01
4.897959183673469274e-01 -1.805894565715471956e+01
5.306122448979591066e-01 -2.184854934449872843e+01
5.714285714285713969e-01 -1.272892511141823846e+01
6.122448979591835760e-01 -1.285093957659351460e+01
6.530612244897958663e-01 -1.289436085717232316e+01
6.938775510204081565e-01 -1.594940600695317556e+01
7.346938775510203357e-01 -1.726906241878564074e+01
7.755102040816326259e-01 -1.458761582939237655e+01
8.163265306122448051e-01 -1.442276028455324344e+01
8.571428571428570953e-01 -1.326850383403196076e+01
8.979591836734692745e-01 -1.166795907643528984e+01
9.387755102040815647e-01 -1.038767043730924833e+01
9.795918367346938549e-01 -9.830211763342090237e+00
1.020408163265306145e+00 -9.564763196195215755e+00
1.061224489795918213e+00 -8.635631741599421929e+00
1.102040816326530503e+00 -7.203876905230218952e+00
1.142857142857142794e+00 -6.907812908193351475e+00
1.183673469387755084e+00 -6.018884915202769470e+00
1.224489795918367152e+00 -5.451866864581806915e+00
1.265306122448979442e+00 -4.714570305025036490e+00
1.306122448979591733e+00 -4.177928650860781801e+00
1.346938775510204023e+00 -3.747567931914726369e+00
1.387755102040816313e+00 -3.392148696772038008e+00
1.428571428571428381e+00 -2.999337880681073987e+00
1.469387755102040671e+00 -2.798312594548376886e+00
1.510204081632652962e+00 -2.650705081574900923e+00
1.551020408163265252e+00 -2.453301786170914767e+00
1.591836734693877320e+00 -2.250792605289447135e+00
1.632653061224489610e+00 -2.086774668320793058e+00
1.673469387755101900e+00 -1.918851613879312357e+00
1.714285714285714191e+00 -1.777354670567952377e+00
1.755102040816326481e+00 -1.630922544459100010e+00
1.795918367346938549e+00 -1.495173182708660953e+00
1.836734693877550839e+00 -1.370351942155511260e+00
1.877551020408163129e+00 -1.243809275350542976e+00
1.918367346938775420e+00 -1.129572515901399621e+00
1.959183673469387710e+00 -1.017832552125091272e+00
2.000000000000000000e+00 -9.121258829910872112e-01
